,Review,Kategori,Polarity,Restaurant,preprocessed_sentence_lemma,preprocessed_sentence,aspect_prediction,opinion_term_prediction,entity_prediction
222,Food not too bad,Food,positive,Kahyangan Restaurant,food bad,food not too bad,[['food']],[['bad']],['FOOD']
223,Portions are rather small,Food,negative,Kahyangan Restaurant,portion rather small,portions are rather small,[['portion']],[['small']],['SERVICE']
224,Service not great,Service,negative,Kahyangan Restaurant,service great,service not great,[['service']],[['great']],['SERVICE']
225, Sushi was not really nice and the price is just unbelievable for this kind of place and this cit,"Food, Price","negative, negative",Kahyangan Restaurant,sushi really nice price unbelievable kind place cit,sushi was not really nice and the price is just unbelievable for this kind of place and this cit,"[['sushi'], ['price']]","[['nice'], ['unbelievable']]","['FOOD', 'PRICE']"
226,Boring place and service too slow,"Ambience, Service","negative, negative",Kahyangan Restaurant,boring place service slow,boring place and service too slow,"[['place'], ['service']]","[['boring'], ['slow']]","['AMBIENCE', 'SERVICE']"
227,I had a wow moment as I enter the room because I saw such a beautiful view of the sky and tall buildings and a glimpse of city of Jakarta,Ambience,positive,Kahyangan Restaurant,wow moment enter room saw beautiful view sky tall building glimpse city jakarta,i had a wow moment as i enter the room because i saw such a beautiful view of the sky and tall buildings and a glimpse of city of jakarta,"[['room', 'view', 'sky', 'building', 'glimpse', 'city', 'jakarta'], ['view', 'sky', 'building', 'glimpse', 'city', 'jakarta']]","[['beautiful', 'tall'], ['beautiful', 'tall']]","['AMBIENCE', 'AMBIENCE']"
228,"I was not a fan of sushi before but now I like it, even though I'm picky to choose where I'm going to eat that",Food,positive,Kahyangan Restaurant,fan sushi like even though iam picky choose iam go eat,"i was not a fan of sushi before but now i like it , even though iam picky to choose where iam going to eat that","[['fan', 'sushi', 'iam']]","[['like', 'picky']]",['AMBIENCE']
229,"So here I ordered sashimi and Gyu Kimchi, both taste are very delicious, tasty, and I enjoy every bite,especially the sashimi, its taste very good even without the sauces and wasabi, oh the wasabi though taste less strong in my tongue, but it's not a big deal, I still love it.",Food,positive,Kahyangan Restaurant,order sashimi gyu kimchi taste delicious tasty enjoy every bite especially sashimi taste good even without sauce wasabi oh wasabi though taste less strong tongue big deal still love,"so here i ordered sashimi and gyu kimchi , both taste are very delicious , tasty , and i enjoy every bite , especially the sashimi , its taste very good even without the sauces and wasabi , oh the wasabi though taste less strong in my tongue , but it is not a big deal , i still love it .","[['sashimi', 'gyu', 'kimchi', 'taste', 'bite', 'sauce', 'wasabi', 'tongue', 'deal'], ['sashimi', 'gyu', 'kimchi', 'taste'], ['bite', 'sashimi', 'taste', 'sauce', 'wasabi'], ['deal']]","[['delicious', 'tasty', 'enjoy', 'good', 'strong', 'big', 'love'], ['delicious', 'tasty'], ['enjoy', 'good'], ['big']]","['FOOD', 'FOOD', 'FOOD', 'SERVICE']"
230,"I also like how the staffs served us here, especially Kristin and Anisa, if I'm not mistaken, they're nice, informative, and helpfull.",Service,positive,Kahyangan Restaurant,also like staff serve us especially kristin anisa iam mistaken nice informative helpfull,"i also like how the staffs served us here , especially kristin and anisa , if iam not mistaken , they 're nice , informative , and helpfull .","[['staff', 'kristin', 'anisa', 'iam', 'helpfull'], ['staff', 'kristin', 'anisa', 'iam', 'helpfull']]","[['like', 'mistaken', 'nice', 'informative'], ['like', 'mistaken', 'nice', 'informative']]","['SERVICE', 'SERVICE']"
231,"They gave several options, and I opted to Mashed Potato which tasted good and I'm satisfied",Food,positive,Kahyangan Restaurant,give several option opt mash potato taste good iam satisfied,"they gave several options , and i opted to mashed potato which tasted good and iam satisfied","[['option'], ['potato']]","[['several'], ['mash', 'good', 'satisfied']]","['SERVICE', 'FOOD']"
232," The teppanyaki section of Kahyangan offers great selection of Japanese Beef, and that said how good the servings going to be",Food,positive,Kahyangan Restaurant,teppanyaki section kahyangan offer great selection japanese beef say good serving go,"the teppanyaki section of kahyangan offers great selection of japanese beef , and that said how good the servings going to be","[['teppanyaki', 'section', 'kahyangan', 'selection', 'beef'], ['serving']]","[['great', 'japanese'], ['good']]","['PRICE', 'SERVICE']"
233,A very good Teppanyaki restaurant in the Pullman Hotel or more precisely in the adjacent tower,Food,positive,Kahyangan Restaurant,good teppanyaki restaurant pullman hotel precisely adjacent tower,a very good teppanyaki restaurant in the pullman hotel or more precisely in the adjacent tower,"[['teppanyaki'], ['restaurant'], ['hotel'], ['tower']]","[['good'], ['pullman'], ['precisely'], ['adjacent']]","['AMBIENCE', 'AMBIENCE', 'AMBIENCE', 'SERVICE']"
234,The negative point is the very high tariffs,Price,negative,Kahyangan Restaurant,negative point high tariff,the negative point is the very high tariffs,"[['point', 'tariff']]","[['negative', 'high']]",['PRICE']
235,Great ambience,Ambience,positive,Kahyangan Restaurant,great ambience,great ambience,[['ambience']],[['great']],['AMBIENCE']
236,Good quality food,Food,positive,Kahyangan Restaurant,good quality food,good quality food,"[['quality', 'food']]",[['good']],['FOOD']
237,"The food were delicious ( lobter ,Tenderloin US prime, scallop, fried rice ) Will recommend this place to others",Food,positive,Kahyangan Restaurant,food delicious lobter tenderloin us prime scallop fry rice recommend place others,"the food were delicious ( lobter , tenderloin us prime , scallop , fried rice ) will recommend this place to others","[['food', 'lobter', 'tenderloin', 'scallop', 'rice', 'place'], ['lobter', 'tenderloin', 'scallop', 'rice']]","[['delicious', 'prime', 'fry', 'recommend'], ['prime', 'fry']]","['FOOD', 'FOOD']"
238,Great food,Food,positive,Kahyangan Restaurant,great food,great food,[['food']],[['great']],['FOOD']
239,Sea urchin sauce on the lobster is too bitter,Food,negative,Kahyangan Restaurant,sea urchin sauce lobster bitter,sea urchin sauce on the lobster is too bitter,"[['sea', 'urchin', 'sauce', 'lobster']]",[['bitter']],['FOOD']
240,Scallop is magnificent,Food,positive,Kahyangan Restaurant,scallop magnificent,scallop is magnificent,[['scallop']],[['magnificent']],['FOOD']
241,The service was impressive,Service,negative,Kahyangan Restaurant,service impressive,the service was impressive,[['service']],[['impressive']],['SERVICE']
242,the food was excellent and the wait staff very helpful and friendly. ,"Food, Service","positive, positive",Kahyangan Restaurant,food excellent wait staff helpful friendly,the food was excellent and the wait staff very helpful and friendly .,[['food']],[['excellent']],['FOOD']
243,Had a wonderful meal at Kahyangan Teppanyaki restaurant on Friday night,Food,positive,Kahyangan Restaurant,wonderful meal kahyangan teppanyaki restaurant friday night,had a wonderful meal at kahyangan teppanyaki restaurant on friday night,"[['meal', 'teppanyaki', 'restaurant', 'friday', 'night']]","[['wonderful', 'kahyangan']]",['AMBIENCE']
244,"The food was fantastic, cooked by Chef Hadi, and our server, Kristin, was very helpful, recommending food choices, plus Sake, and also very attentive, without being intrusive",Food,positive,Kahyangan Restaurant,food fantastic cook chef hadi server kristin helpful recommend food choice plus sake also attentive without intrusive,"the food was fantastic , cooked by chef hadi , and our server , kristin , was very helpful , recommending food choices , plus sake , and also very attentive , without being intrusive","[['food'], ['server', 'kristin', 'food', 'choice', 'sake']]","[['fantastic'], ['helpful', 'attentive', 'intrusive']]","['FOOD', 'SERVICE']"
245,The view of the city from the table was great and my server (Agung Julianto) was a good conversationalist,"Ambience, Service","positive, positive",Kahyangan Restaurant,view city table great server agung julianto good conversationalist,the view of the city from the table was great and my server ( agung julianto ) was a good conversationalist,"[['table'], ['server', 'julianto', 'conversationalist']]","[['great'], ['good']]","['SERVICE', 'SERVICE']"
246,The beef was so good,Food,positive,Kahyangan Restaurant,beef good,the beef was so good,[['beef']],[['good']],['FOOD']
247,The atmosphere was fantastic,Ambience,positive,Kahyangan Restaurant,atmosphere fantastic,the atmosphere was fantastic,[['atmosphere']],[['fantastic']],['AMBIENCE']
248, The taste of the fonzu sauce is the best in Jakarta,Food,positive,Kahyangan Restaurant,taste fonzu sauce best jakarta,the taste of the fonzu sauce is the best in jakarta,"[['taste', 'fonzu', 'sauce', 'jakarta']]",[['best']],['FOOD']
249,The restaurant has a very good ambience,Ambience,positive,Kahyangan Restaurant,restaurant good ambience,the restaurant has a very good ambience,"[['restaurant', 'ambience']]",[['good']],['AMBIENCE']
250,The view is great especially at night,Ambience,positive,Kahyangan Restaurant,view great especially night,the view is great especially at night,[['view']],[['great']],['AMBIENCE']
251,The price is not so budget friendly,Price,negative,Kahyangan Restaurant,price budget friendly,the price is not so budget friendly,"[['price', 'budget']]",[['friendly']],['PRICE']
252,We enjoyed a shabu shabu dinner one evening (cooking yourself in bouillon) and teppanyaki the other,Food,positive,Kahyangan Restaurant,enjoy shabu shabu dinner one evening cooking bouillon teppanyaki,we enjoyed a shabu shabu dinner one evening ( cooking yourself in bouillon ) and teppanyaki the other,"[['shabu', 'dinner', 'evening', 'cooking']]",[['enjoy']],['FOOD']
253,Both restaurants offer good quality food and kind service,"Food, Service","positive, positive",Kahyangan Restaurant,restaurant offer good quality food kind service,both restaurants offer good quality food and kind service,"[['restaurant', 'quality', 'food', 'kind', 'service']]",[['good']],['SERVICE']
254,Not cheap for sure but definitely worth the price!,Price,positive,Kahyangan Restaurant,cheap sure definitely worth price,not cheap for sure but definitely worth the price,[['price']],"[['cheap', 'sure', 'worth']]",['PRICE']
255,service little bit slow but still acceptable,Service,negative,Kahyangan Restaurant,service little bit slow still acceptable,service little bit slow but still acceptable,[['service']],"[['little', 'slow', 'acceptable']]",['SERVICE']
256,staffs' service is excellent,Service,positive,Kahyangan Restaurant,staff service excellent,staffs service is excellent,"[['staff', 'service']]",[['excellent']],['SERVICE']
257,Service was prompt & staffs were very attentive,Service,positive,Kahyangan Restaurant,service prompt staff attentive,service was prompt staffs were very attentive,"[['service'], ['staff']]","[['prompt', 'attentive'], ['attentive']]","['SERVICE', 'SERVICE']"
258,Food is as fresh as you could get and quality is first class,Food,positive,Kahyangan Restaurant,food fresh could get quality first class,food is as fresh as you could get and quality is first class,"[['food', 'quality', 'class'], ['quality', 'class']]","[['fresh', 'first'], ['first']]","['FOOD', 'SERVICE']"
259,The waiting service was prompt.,Service,positive,Kahyangan Restaurant,wait service prompt,the waiting service was prompt .,[['service']],[['prompt']],['SERVICE']
260,The portion size was appropriate and the beef quality was very good,Food,positive,Kahyangan Restaurant,portion size appropriate beef quality good,the portion size was appropriate and the beef quality was very good,"[['portion', 'size'], ['beef', 'quality']]","[['appropriate'], ['good']]","['SERVICE', 'FOOD']"
261,"With the good view, ambience and exceptionally good beef",Ambience,positive,Kahyangan Restaurant,good view ambience exceptionally good beef,"with the good view , ambience and exceptionally good beef","[['view'], ['ambience'], ['beef']]","[['good'], ['exceptionally'], ['good']]","['AMBIENCE', 'AMBIENCE', 'FOOD']"
262, the meal was well worth the USD50 per person bill,Price,positive,Kahyangan Restaurant,meal well worth usd50 per person bill,the meal was well worth the usd50 per person bill,[['meal']],[['well']],['FOOD']
263,The restaurant was very nice the staff was Friendly and attentive,Service,positive,Kahyangan Restaurant,restaurant nice staff friendly attentive,the restaurant was very nice the staff was friendly and attentive,"[['restaurant'], ['staff']]","[['nice', 'friendly', 'attentive'], ['friendly', 'attentive']]","['AMBIENCE', 'SERVICE']"
264,Good service,Service,positive,Kahyangan Restaurant,good service,good service,[['service']],[['good']],['SERVICE']
265,good view,Ambience,positive,Kahyangan Restaurant,good view,good view,[['view']],[['good']],['AMBIENCE']
266,"meat was tasty, savory, the broth was okay, and they have good quality ingredients,",Food,positive,Kahyangan Restaurant,meat tasty savory broth okay good quality ingredient,"meat was tasty , savory , the broth was okay , and they have good quality ingredients ,","[['meat'], ['broth'], ['quality', 'ingredient']]","[['tasty'], ['okay'], ['good']]","['FOOD', 'FOOD', 'FOOD']"
267," the service was good, nothing special but not bad",Service,positive,Kahyangan Restaurant,service good nothing special bad,"the service was good , nothing special but not bad",[['service']],"[['good', 'special', 'bad']]",['SERVICE']
268,"The ingredients are high quality, the staff are attentive and there is a reasonable choice of wines if desired.","Food, Service","positive, positive",Kahyangan Restaurant,ingredient high quality staff attentive reasonable choice wine desire,"the ingredients are high quality , the staff are attentive and there is a reasonable choice of wines if desired .","[['ingredient', 'quality'], ['staff'], ['choice', 'wine']]","[['high'], ['attentive'], ['reasonable']]","['FOOD', 'SERVICE', 'FOOD']"
269,good ambience with very bad food taste,"Ambience, Food","positive, negative",Plataran Menteng,good ambience bad food taste,good ambience with very bad food taste,"[['ambience', 'food', 'taste']]","[['good', 'bad']]",['FOOD']
270,All food ordered were tasteless,Food,negative,Plataran Menteng,food order tasteless,all food ordered were tasteless,[['food']],[['tasteless']],['FOOD']
271,"Deep fried carp really stink, like soil smell.",Food,negative,Plataran Menteng,deep fry carp really stink like soil smell,"deep fried carp really stink , like soil smell .",[['soil']],"[['fry', 'carp', 'stink']]",['FOOD']
272,"Nasi kebuli too mushy and tasteless, far away compared with original mid eastern nasi kebuli",Food,negative,Plataran Menteng,nasi kebuli mushy tasteless far away compare original mid eastern nasi kebuli,"nasi kebuli too mushy and tasteless , far away compared with original mid eastern nasi kebuli","[['nasi', 'kebuli']]","[['mushy', 'tasteless', 'original', 'mid', 'eastern']]",['FOOD']
273,Waiters was slow and ignorant to serve,Service,negative,Plataran Menteng,waiter slow ignorant serve,waiters was slow and ignorant to serve,[['waiter']],"[['slow', 'ignorant']]",['SERVICE']
274,This restaurant is not recommended coz of their poor service.,Service,negative,Plataran Menteng,restaurant recommend coz poor service,this restaurant is not recommended coz of their poor service .,"[['restaurant', 'coz']]","[['recommend', 'poor']]",['AMBIENCE']
275,"The decoration of the mansion was really impressive, even better than photos",Ambience,positive,Plataran Menteng,decoration mansion really impressive even good photo,"the decoration of the mansion was really impressive , even better than photos","[['decoration', 'mansion']]","[['impressive', 'good']]",['AMBIENCE']
276,"However, the food was not impressive",Food,negative,Plataran Menteng,however food impressive,"however , the food was not impressive",[['food']],[['impressive']],['FOOD']
277," It's quite expensive, especially in comparison with our expectation",Price,negative,Plataran Menteng,quite expensive especially comparison expectation,"it is quite expensive , especially in comparison with our expectation","[['comparison', 'expectation']]",[['expensive']],['PRICE']
278,"Good food, beautiful place, but average service","Food, Ambience, Service","positive, positive, negative",Plataran Menteng,good food beautiful place average service,"good food , beautiful place , but average service","[['food'], ['place'], ['service']]","[['good'], ['beautiful'], ['average']]","['FOOD', 'AMBIENCE', 'SERVICE']"
279,"This is a great place for event, welcoming guest, business meeting, and for important moments",Ambience,positive,Plataran Menteng,great place event welcoming guest business meeting important moment,"this is a great place for event , welcoming guest , business meeting , and for important moments","[['place', 'event', 'guest', 'business', 'meeting', 'moment']]","[['great', 'welcoming', 'important']]",['AMBIENCE']
280,"Interesting decoration and nice atmosphere, combined with good food and service","Ambience, Food, Service","positive, positive,  positive",Plataran Menteng,interesting decoration nice atmosphere combine good food service,"interesting decoration and nice atmosphere , combined with good food and service","[['decoration', 'atmosphere', 'food', 'service']]","[['interesting', 'nice', 'good']]",['SERVICE']
281,"Each dish was good, and when the fish took longer than expected they apologised and gave us two side dishes free of charge",Food,positive,Plataran Menteng,dish good fish take long expect apologise give us two side dish free charge,"each dish was good , and when the fish took longer than expected they apologised and gave us two side dishes free of charge","[['dish'], ['fish', 'side', 'dish', 'charge'], ['fish']]","[['good'], ['long', 'free'], ['long']]","['FOOD', 'FOOD', 'FOOD']"
282,Which was a wonderful touch and that food was delicious as well,Food,positive,Plataran Menteng,wonderful touch food delicious well,which was a wonderful touch and that food was delicious as well,[['food']],"[['delicious', 'well']]",['FOOD']
283,For the first time with my friends eat in plataran menteng... me n friends so like it... good taste... indonesian food restauran fine dinning...,Food,positive,Plataran Menteng,first time friend eat plataran mentengme n friend like itgood tasteindonesian food restauran fine dinning,for the first time with my friends eat in plataran menteng ... me n friends so like it ... good taste ... indonesian food restauran fine dinning ...,"[['friend', 'menteng', 'taste', 'food', 'restauran']]","[['plataran', 'like', 'good', 'indonesian']]",['FOOD']
284,Authentic food with great taste prepared and served western way,Food,positive,Plataran Menteng,authentic food great taste prepared serve western way,authentic food with great taste prepared and served western way,"[['food', 'taste', 'way']]","[['authentic', 'great', 'prepared', 'western']]",['FOOD']
285,Service was good and knowledgeable as i needed some help choose from the large selection,Service,positive,Plataran Menteng,service good knowledgeable need help choose large selection,service was good and knowledgeable as i needed some help choose from the large selection,"[['service', 'help'], ['help', 'help']]","[['good', 'knowledgeable', 'large'], ['large']]","['SERVICE', 'SERVICE']"
286,The place is an old Dutch house with vintage decoration very posh,Ambience,positive,Plataran Menteng,place old dutch house vintage decoration posh,the place is an old dutch house with vintage decoration very posh,"[['place', 'house', 'decoration']]","[['old', 'dutch', 'vintage', 'posh']]",['AMBIENCE']
287,Both have nice decor and serve good food,"Ambience, Food","positive, positive",Plataran Menteng,nice decor serve good food,both have nice decor and serve good food,"[['decor', 'food']]","[['nice', 'good']]",['FOOD']
288,Well located in a very nice environment,Ambience,positive,Plataran Menteng,well located nice environment,well located in a very nice environment,[['environment']],"[['well', 'located', 'nice']]",['AMBIENCE']
289,You will enjoy the delicious dishes,Food,positive,Plataran Menteng,enjoy delicious dish,you will enjoy the delicious dishes,[['dish']],"[['enjoy', 'delicious']]",['FOOD']
290,The staff is very professional and friendly!,Service,positive,Plataran Menteng,staff professional friendly,the staff is very professional and friendly,[['staff']],"[['professional', 'friendly']]",['SERVICE']
291,We enjoyed delicious Indonesian dishes and very good service here earlier this week,"Food, Service","positive, positive",Plataran Menteng,enjoy delicious indonesian dish good service earlier week,we enjoyed delicious indonesian dishes and very good service here earlier this week,"[['dish', 'service', 'week']]","[['enjoy', 'delicious', 'indonesian', 'good']]",['SERVICE']
292,We especially enjoyed seeing the interior gardens that are obviously well-cared fo,Ambience,positive,Plataran Menteng,especially enjoy see interior garden obviously well care fo,we especially enjoyed seeing the interior gardens that are obviously well-cared fo,"[['garden', 'fo']]","[['enjoy', 'interior', 'well-cared']]",['FOOD']
293,"This is a very beautiful quaint house, nicely decorated and very suitable for a small party",Ambience,positive,Plataran Menteng,beautiful quaint house nicely decorate suitable small party,"this is a very beautiful quaint house , nicely decorated and very suitable for a small party","[['house', 'party']]","[['beautiful', 'quaint', 'nicely', 'suitable', 'small']]",['SERVICE']
294,Food and drinks meet my expectation,Food,positive,Plataran Menteng,food drink meet expectation,food and drinks meet my expectation,[],[],[]
295,"Excellent interior, great service, and good Indonesian food","Ambience, Food, Service","positive, positive,  positive",Plataran Menteng,excellent interior great service good indonesian food,"excellent interior , great service , and good indonesian food","[['interior', 'service', 'food']]","[['excellent', 'great', 'good', 'indonesian']]",['SERVICE']
296,The interior decor was simplistic yet stylish,Ambience,positive,Plataran Menteng,interior decor simplistic yet stylish,the interior decor was simplistic yet stylish,[['decor']],"[['interior', 'simplistic', 'stylish']]",['FOOD']
297,"All the dishes our group had were Indonesia food and they all were extremely tasty, yet visually beautiful as well",Food,positive,Plataran Menteng,dish group indonesia food extremely tasty yet visually beautiful well,"all the dishes our group had were indonesia food and they all were extremely tasty , yet visually beautiful as well","[['group', 'food']]",[['indonesia']],['FOOD']
298,Delicious Indonesian food,Food,positive,Plataran Menteng,delicious indonesian food,delicious indonesian food,[['food']],"[['delicious', 'indonesian']]",['FOOD']
299,perfect setting table at the roof top,Ambience,positive,Plataran Menteng,perfect setting table roof top,perfect setting table at the roof top,"[['setting', 'table', 'roof']]","[['perfect', 'top']]",['PRICE']
300, friendly service,Service,positive,Plataran Menteng,friendly service,friendly service,[['service']],[['friendly']],['SERVICE']
301,The price was reasonable to celebrate special occassiaon with your love one,Price,positive,Plataran Menteng,price reasonable celebrate special occassiaon love one,the price was reasonable to celebrate special occassiaon with your love one,"[['price', 'occassiaon']]","[['reasonable', 'celebrate', 'special', 'love']]",['PRICE']
302,classic designs such as houses,Ambience,positive,Plataran Menteng,classic design house,classic designs such as houses,"[['design', 'house']]",[['classic']],['AMBIENCE']
303,friendly service ,Service,positive,Plataran Menteng,friendly service,friendly service,[['service']],[['friendly']],['SERVICE']
304,food lots of variety of regional food. .tasty . clean. . and comfortable,Food,positive,Plataran Menteng,food lot variety regional food tasty cleanand comfortable,food lots of variety of regional food . .tasty . clean . . and comfortable,"[['food'], ['lot']]","[['variety'], ['regional']]","['FOOD', 'PRICE']"
305,Food was good for me,Food,positive,Plataran Menteng,food good,food was good for me,[['food']],[['good']],['FOOD']
306,"But the price was very expensive (for us, compare to other indonesian food resto)",Price,negative,Plataran Menteng,price expensive us compare indonesian food resto,"but the price was very expensive ( for us , compare to other indonesian food resto )",[['price']],[['expensive']],['PRICE']
307,the staff and ambience is good,"Service, Ambience","positive, positive",Plataran Menteng,staff ambience good,the staff and ambience is good,"[['staff', 'ambience']]",[['good']],['AMBIENCE']
308,The food is average but the price is way too expensive,"Food, Price","positive, negative",Plataran Menteng,food average price way expensive,the food is average but the price is way too expensive,"[['food', 'price'], ['price']]","[['average', 'expensive'], ['expensive']]","['FOOD', 'PRICE']"
309,Good ambience with classic furnitures and equipments,Ambience,positive,Plataran Menteng,good ambience classic furniture equipment,good ambience with classic furnitures and equipments,"[['ambience', 'furniture', 'equipment']]","[['good', 'classic']]",['AMBIENCE']
310,food is tasty,Food,positive,Plataran Menteng,food tasty,food is tasty,[['food']],[['tasty']],['FOOD']
311,Beautiful place with delicous food,"Ambience, Food","positive, positive",Plataran Menteng,beautiful place delicous food,beautiful place with delicous food,"[['place'], ['food']]","[['beautiful'], ['delicous']]","['AMBIENCE', 'FOOD']"
312,Excellent local dishes and attentive service throughout,"Food, Service","positive, positive",Plataran Menteng,excellent local dish attentive service throughout,excellent local dishes and attentive service throughout,"[['dish', 'service']]","[['excellent', 'local', 'attentive']]",['SERVICE']
313,Food was good,Food,positive,Plataran Dharmawangsa,food good,food was good,[['food']],[['good']],['FOOD']
314, Quite surprise with the price.,Price,negative,Plataran Dharmawangsa,quite surprise price,quite surprise with the price .,[],[],[]
315,he food was tasty and presented quite well,Food,positive,Plataran Dharmawangsa,food tasty present quite well,he food was tasty and presented quite well,[['food']],"[['tasty', 'well']]",['FOOD']
316," Great food, lovely decor and friendly staff","Food, Ambience, Service","positive, positive,  positive",Plataran Dharmawangsa,great food lovely decor friendly staff,"great food , lovely decor and friendly staff","[['food'], ['decor'], ['staff']]","[['great'], ['lovely'], ['friendly']]","['FOOD', 'FOOD', 'SERVICE']"
317, Food and alcohol was reasonably price ,Price,positive,Plataran Dharmawangsa,food alcohol reasonably price,food and alcohol was reasonably price,"[['food', 'alcohol', 'price']]",[['reasonably']],['FOOD']
318,"Plataran Dharmawangsa occupies a traditional Joglo's, within a lush, beautifully designed garden with water features and stone statues, which makes for a stunning environment especially at night when it is beautifully lit.",Ambience,positive,Plataran Dharmawangsa,plataran dharmawangsa occupy traditional joglo within lush beautifully design garden water feature stone statue make stunning environment especially night beautifully light,"plataran dharmawangsa occupies a traditional joglo is , within a lush , beautifully designed garden with water features and stone statues , which makes for a stunning environment especially at night when it is beautifully lit .","[['plataran', 'dharmawangsa', 'joglo', 'garden', 'water', 'feature', 'stone', 'statue', 'environment', 'night'], ['joglo']]","[['traditional', 'lush', 'beautifully', 'stunning'], ['traditional']]","['AMBIENCE', 'FOOD']"
319,The food is very well executed Indonesian with some dishes reflecting fusion with Thai cooking,Food,positive,Plataran Dharmawangsa,food well execute indonesian dish reflect fusion thai cooking,the food is very well executed indonesian with some dishes reflecting fusion with thai cooking,"[['food'], ['dish', 'fusion']]","[['well', 'indonesian', 'thai'], ['thai']]","['FOOD', 'FOOD']"
320,"I loved the soft shell crab salad with green mango and pomelo as well as the Dharmawanga Chicken, a Thai style green mango salad served on top of small pieces of fried chicken with a sweet chilli dressing",Food,positive,Plataran Dharmawangsa,love soft shell crab salad green mango pomelo well dharmawanga chicken thai style green mango salad serve top small piece fried chicken sweet chilli dress,"i loved the soft shell crab salad with green mango and pomelo as well as the dharmawanga chicken , a thai style green mango salad served on top of small pieces of fried chicken with a sweet chilli dressing","[['shell'], ['crab'], ['salad'], ['mango'], ['pomelo'], ['dharmawanga'], ['chicken'], ['style'], ['piece'], ['chilli']]","[['love'], ['soft'], ['green'], ['well'], ['thai'], ['green'], ['top'], ['small'], ['fried'], ['sweet']]","['FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'AMBIENCE', 'AMBIENCE', 'FOOD']"
321,The staff are lovely and very pleasant but the dining experience could be improved by turning down the aircon and improving some aspects of customer service such as improving the waiters attention to detail,Service,positive,Plataran Dharmawangsa,staff lovely pleasant dining experience could improve turn aircon improve aspect customer service improve waiter attention detail,the staff are lovely and very pleasant but the dining experience could be improved by turning down the aircon and improving some aspects of customer service such as improving the waiters attention to detail,"[['staff', 'dining', 'experience'], ['dining', 'experience']]","[['lovely', 'pleasant', 'improve', 'such'], ['improve', 'such']]","['AMBIENCE', 'AMBIENCE']"
322,Indeed the ambience and feel of how local aristocrats had lived was excellent,Ambience,positive,Plataran Dharmawangsa,indeed ambience feel local aristocrat live excellent,indeed the ambience and feel of how local aristocrats had lived was excellent,"[['ambience', 'feel', 'aristocrat'], ['aristocrat']]","[['local', 'excellent'], ['local']]","['AMBIENCE', 'AMBIENCE']"
323,"Food was tasty but I had better servings elsewhere, like the Sup Buntu",Food,positive,Plataran Dharmawangsa,food tasty good serving elsewhere like sup buntu,"food was tasty but i had better servings elsewhere , like the sup buntu","[['food', 'serving'], ['serving']]","[['tasty', 'good'], ['good']]","['FOOD', 'SERVICE']"
324,I like the ambience of this place...it’s so Indonesia,Ambience,positive,Plataran Dharmawangsa,like ambience place indonesia,i like the ambience of this place ... it is so indonesia,"[['ambience'], ['place']]","[['like'], ['indonesia']]","['AMBIENCE', 'AMBIENCE']"
325,The food was well presented but the taste is ordinary,Food,positive,Plataran Dharmawangsa,food well present taste ordinary,the food was well presented but the taste is ordinary,"[['food', 'taste'], ['taste']]","[['well', 'ordinary'], ['ordinary']]","['FOOD', 'FOOD']"
326,The ambience is very good with a classical design,Ambience,positive,Plataran Dharmawangsa,ambience good classical design,the ambience is very good with a classical design,[['ambience']],"[['good', 'classical']]",['AMBIENCE']
327,They have a good multi-cuisine menu,Food,positive,Plataran Dharmawangsa,good multi cuisine menu,they have a good multi-cuisine menu,[['menu']],"[['good', 'multi-cuisine']]",['AMBIENCE']
328,Good Javanese decor,Ambience,positive,Plataran Dharmawangsa,good javanese decor,good javanese decor,[['decor']],"[['good', 'javanese']]",['FOOD']
329,It’s a good place to take memorable group photos (indoors and outdoors),Ambience,positive,Plataran Dharmawangsa,good place take memorable group photo indoors outdoors,it is a good place to take memorable group photos ( indoors and outdoors ),"[['place', 'group', 'photo']]","[['good', 'memorable']]",['AMBIENCE']
330,Food is good but portions are small,Food,positive,Plataran Dharmawangsa,food good portion small,food is good but portions are small,"[['food', 'portion'], ['portion']]","[['good', 'small'], ['small']]","['FOOD', 'SERVICE']"
331, Nice food nice place,"Food, Ambience","positive, positive",Plataran Dharmawangsa,nice food nice place,nice food nice place,"[['food'], ['place']]","[['nice'], ['nice']]","['FOOD', 'AMBIENCE']"
332,"Great food, nice atmosphere, but slow service","Food, Ambience, Service","positive, positive, negative",Plataran Dharmawangsa,great food nice atmosphere slow service,"great food , nice atmosphere , but slow service","[['food'], ['atmosphere'], ['service']]","[['great'], ['nice'], ['slow']]","['FOOD', 'AMBIENCE', 'SERVICE']"
333,"Price is resonable though, we spend about 150 SGD for a lavish meal for 4",Price,positive,Plataran Dharmawangsa,price resonable though spend sgd lavish meal,"price is resonable though , we spend about NUM sgd for a lavish meal for NUM",[['price']],[['resonable']],['PRICE']
334, My best one to recommend to you is Briyani Chips and Salted Egg Gurame,Food,positive,Plataran Dharmawangsa,best one recommend briyani chip salt egg gurame,my best one to recommend to you is briyani chips and salted egg gurame,"[['chip', 'egg', 'gurame']]","[['best', 'recommend', 'briyani']]",['FOOD']
335,Wedang Ronde was the best!,Food,positive,Plataran Dharmawangsa,wedang ronde best,wedang ronde was the best,"[['wedang', 'ronde']]",[['best']],['AMBIENCE']
