,review,type,aspect,clauses
321,"5 for "" digital film "" it uses compact flash cards , which are easy to find , cheap , reliable and supported by many other devices you may have at hoome . ",complex_sentence,,"[('you may have at hoome', 'DC'), ('for digital film it uses compact flash cards cheap reliable and supported by many other devices', 'IC')]"
322,6 the nikon coolpix line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model . ,complex_sentence,nikon support[+1],"[('the nikon coolpix line is a well-established line', 'DC'), ('so you know support and parts', 'DC'), ('are going to be available', 'IC'), ('even when nikon releases a newer model', 'DC')]"
323,7 picture quality is excellent . ,simple_sentence,picture quality[+2],"[('picture quality is excellent', 'IC')]"
324,8 battery life is excellent . ,simple_sentence,battery life[+2],"[('battery life is excellent', 'IC')]"
325,9 3x built-in optical zoom is a lot for this price range . ,simple_sentence,optical zoom[+2],"[('built-in optical zoom is a lot for this price range', 'IC')]"
326,10 great price for all the features . ,phrase,price[+2],"[('10 great price for all the features . ', 'Phrase')]"
327,here 's what you may miss or be annoyed by with this camera : ,phrase,,"[('what you may miss or be annoyed by with this camera', 'DC')]"
328,1 no direct firewire to the camera . ,phrase,firewire[-1],"[('1 no direct firewire to the camera . ', 'Phrase')]"
329,"there is usb , though . ",simple_sentence,,"[('there is usb though', 'IC')]"
330,"2 the camera is so small that when you attach some lenses i have the 19mm wide-angle -- wc-e 68 , the optical viewfinder is partially obscured . ",complex_sentence,viewfinder[-1],"[('the camera is so small', 'IC'), ('when you attach some lenses', 'DC'), ('that the optical viewfinder is partially obscured', 'DC'), ('that the optical viewfinder is partially obscured', 'DC'), ('i have the mm wide-angle wc-e', 'DC')]"
331,"this does n't affect the picture , of course . ",simple_sentence,,"[(""this does n't affect the picture of course"", 'IC')]"
332,you just have to use the lcd viewfinder to see the whole picture . ,simple_sentence,,"[('you just have to use the lcd viewfinder to see the whole picture', 'IC')]"
333,it 's no problem for me personally . ,simple_sentence,,"[('it no problem for me personally', 'IC')]"
334,3 battery has to be removed to recharge . ,simple_sentence,,"[('battery has to be removed to recharge', 'IC')]"
335,"4 an ac adapter for powering the camera while the battery 's out is not included , although one can be purchased separately . ",complex_sentence,,"[('although one can be purchased separately', 'DC'), ('an ac adapter for powering the camera while the battery out is not included', 'IC')]"
336,5 two different adapters -- ur-e 4 and ur-e 7 -- are required for some attachment lenses . ,simple_sentence,,"[('two different adapters ur-e and ur-e are required for some attachment lenses', 'IC')]"
337,"most of these "" annoyances "" , though , are comparable to what you 'll find on other cameras in this price range . ",complex_sentence,,"[('most of these annoyances though are comparable to', 'IC'), ('what you find on other cameras in this price range', 'DC')]"
338,"i am new to the whole digital camera thing ; well , new to the whole camera thing period , really . ",simple_sentence,,"[('i am new to the whole digital camera thing well new to the whole camera thing period really', 'IC')]"
339,"this camera was affordable , very easy to learn , and produces spectacular images . ",simple_sentence,"price[+2][u],learn[+2],image[+3]","[('this camera was affordable very easy to learn and produces spectacular images', 'IC')]"
340,the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual . ,compound_complex_sentence,"auto mode[+2],scene mode[+2],manual mode[+2]","[('the auto-mode is good enough for most shots', 'IC'), ('though i admit', 'DC'), (""i have n't played with it too much on manual"", 'DC'), ('the also boasts versatile scene modes as well as a manual mode', 'IC')]"
341,it 's size also makes it ideal for travel . ,complex_sentence,size[+2],"[('also makes it ideal for travel', 'DC'), ('it size', 'IC')]"
342,"overall the nikon 4300 is a very dependable , robust , and useful little camera . ",simple_sentence,camera[+3],"[('overall the nikon is a very dependable robust and useful little camera', 'IC')]"
343,awesome camera with huge print quality in a tiny package . ,phrase,"camera[+3], print quality[+3]","[('awesome camera with huge print quality in a tiny package . ', 'Phrase')]"
344,"the same 4mp chip from the 4500 camera , plus a 3x zoom with the ability to expand upon that with extenders , great closeup mode , long lasting rechargable battery , etc etc. ",simple_sentence,"closeup mode[+2], battery[+2]","[('the same chip from the camera plus a zoom with the ability to expand upon that with extenders great closeup mode long lasting rechargable battery etc etc.', 'IC')]"
345,"in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use , small good for travel , and provides excellent , sharp images . ",complex_sentence,camera[+3],"[('in my opinion it the best camera for the money', 'IC'), ('if you looking for something that easy to use small good for travel and provides excellent sharp images', 'DC')]"
